receipt_uuid,points_earned,purchase_date,purchased_item_count,rewards_receipt_status,total_spent,user_id,barcode,description,final_price,item_price,needs_fetch_review,partner_item_id,prevent_target_gap_points,quantity_purchased,user_flagged_barcode,user_flagged_new_item,user_flagged_price,user_flagged_quantity
5ff1e1eacfcf6c399c274ae6,500.0,2021-01-03 00:00:00,5,FINISHED,26.0,5ff1e1eacfcf6c399c274ae6,4011,ITEM NOT FOUND,26.0,26.0,False,1,True,5.0,4011,True,26.0,5.0
5ff1e194b6a9d73a3a9f1052,150.0,2021-01-02 15:24:43,2,FINISHED,11.0,5ff1e194b6a9d73a3a9f1052,4011,ITEM NOT FOUND,1.0,1.0,False,1,False,1.0,,False,0.0,1.0
5ff1e194b6a9d73a3a9f1052,150.0,2021-01-02 15:24:43,2,FINISHED,11.0,5ff1e194b6a9d73a3a9f1052,028400642255,DORITOS TORTILLA CHIP SPICY SWEET CHILI REDUCED FAT BAG 1 OZ,10.0,10.0,True,2,True,1.0,028400642255,True,10.0,1.0
5ff1e1f1cfcf6c399c274b0b,5.0,2021-01-03 00:00:00,1,REJECTED,10.0,5ff1e1f1cfcf6c399c274b0b,,,0.0,0.0,False,1,True,1.0,4011,True,26.0,3.0
5ff1e1eacfcf6c399c274ae6,5.0,2021-01-03 00:00:00,4,FINISHED,28.0,5ff1e1eacfcf6c399c274ae6,4011,ITEM NOT FOUND,28.0,28.0,False,1,True,4.0,4011,True,28.0,4.0
5ff1e194b6a9d73a3a9f1052,5.0,2021-01-02 15:25:06,2,FINISHED,1.0,5ff1e194b6a9d73a3a9f1052,4011,ITEM NOT FOUND,1.0,1.0,False,1,False,1.0,,False,0.0,1.0
5ff1e194b6a9d73a3a9f1052,5.0,2021-01-02 15:25:06,2,FINISHED,1.0,5ff1e194b6a9d73a3a9f1052,1234,,2.56,2.56,True,2,True,3.0,1234,True,2.56,3.0
5ff1e1e4cfcf6c399c274ac3,750.0,2021-01-02 15:25:24,1,FINISHED,3.25,5ff1e1e4cfcf6c399c274ac3,4011,ITEM NOT FOUND,3.25,3.25,False,1,True,1.0,4011,False,0.0,1.0
5ff1e194b6a9d73a3a9f1052,5.0,2021-01-03 15:25:01,1,FINISHED,2.23,5ff1e194b6a9d73a3a9f1052,,MSSN TORTLLA,2.23,2.23,False,1009,False,1.0,,False,0.0,1.0
5ff1e194b6a9d73a3a9f1052,500.0,2020-12-27 00:00:00,1,FINISHED,10.0,5ff1e194b6a9d73a3a9f1052,046000832517,"Old El Paso Mild Chopped Green Chiles, 4.5 Oz",10.0,10.0,False,0,False,1.0,,False,0.0,1.0
5ff1e1eacfcf6c399c274ae6,5.0,2021-01-03 00:00:00,5,FINISHED,20.0,5ff1e1eacfcf6c399c274ae6,4011,ITEM NOT FOUND,20.0,20.0,False,1,True,5.0,4011,True,20.0,5.0
5ff1e1eacfcf6c399c274ae6,250.0,2021-01-03 00:00:00,3,FINISHED,20.0,5ff1e1eacfcf6c399c274ae6,4011,ITEM NOT FOUND,20.0,20.0,False,1,True,3.0,4011,True,20.0,3.0
5ff1e194b6a9d73a3a9f1052,100.0,2021-01-02 15:24:53,1,FINISHED,1.0,5ff1e194b6a9d73a3a9f1052,4011,ITEM NOT FOUND,1.0,1.0,False,1,False,1.0,,False,0.0,1.0
5ff1e194b6a9d73a3a9f1052,750.0,2021-01-02 00:00:00,5,FINISHED,50.0,5ff1e194b6a9d73a3a9f1052,013562300631,"Annie's Homegrown Organic White Cheddar Macaroni & Cheese Shells, 6 Oz",50.0,50.0,True,1,False,5.0,,False,0.0,1.0
5ff1e194b6a9d73a3a9f1052,8850.0,2021-02-03 15:24:38,10,FLAGGED,290.0,5ff1e194b6a9d73a3a9f1052,034100573065,MILLER LITE 24 PACK 12OZ CAN,29.0,29.0,False,1,False,1.0,,False,0.0,1.0
5ff1e194b6a9d73a3a9f1052,8850.0,2021-02-03 15:24:38,10,FLAGGED,290.0,5ff1e194b6a9d73a3a9f1052,034100573065,MILLER LITE 24 PACK 12OZ CAN,29.0,29.0,False,2,False,1.0,,False,0.0,1.0
5ff1e194b6a9d73a3a9f1052,8850.0,2021-02-03 15:24:38,10,FLAGGED,290.0,5ff1e194b6a9d73a3a9f1052,034100573065,MILLER LITE 24 PACK 12OZ CAN,29.0,29.0,False,3,False,1.0,,False,0.0,1.0
5ff1e194b6a9d73a3a9f1052,8850.0,2021-02-03 15:24:38,10,FLAGGED,290.0,5ff1e194b6a9d73a3a9f1052,034100573065,MILLER LITE 24 PACK 12OZ CAN,29.0,29.0,False,4,False,1.0,,False,0.0,1.0
5ff1e194b6a9d73a3a9f1052,8850.0,2021-02-03 15:24:38,10,FLAGGED,290.0,5ff1e194b6a9d73a3a9f1052,034100573065,MILLER LITE 24 PACK 12OZ CAN,29.0,29.0,False,5,False,1.0,,False,0.0,1.0
5ff1e194b6a9d73a3a9f1052,8850.0,2021-02-03 15:24:38,10,FLAGGED,290.0,5ff1e194b6a9d73a3a9f1052,034100573065,MILLER LITE 24 PACK 12OZ CAN,29.0,29.0,False,6,False,1.0,,False,0.0,1.0
5ff1e194b6a9d73a3a9f1052,8850.0,2021-02-03 15:24:38,10,FLAGGED,290.0,5ff1e194b6a9d73a3a9f1052,034100573065,MILLER LITE 24 PACK 12OZ CAN,29.0,29.0,False,7,False,1.0,,False,0.0,1.0
5ff1e194b6a9d73a3a9f1052,8850.0,2021-02-03 15:24:38,10,FLAGGED,290.0,5ff1e194b6a9d73a3a9f1052,034100573065,MILLER LITE 24 PACK 12OZ CAN,29.0,29.0,False,8,False,1.0,,False,0.0,1.0
5ff1e194b6a9d73a3a9f1052,8850.0,2021-02-03 15:24:38,10,FLAGGED,290.0,5ff1e194b6a9d73a3a9f1052,034100573065,MILLER LITE 24 PACK 12OZ CAN,29.0,29.0,False,9,False,1.0,,False,0.0,1.0
5ff1e194b6a9d73a3a9f1052,8850.0,2021-02-03 15:24:38,10,FLAGGED,290.0,5ff1e194b6a9d73a3a9f1052,034100573065,MILLER LITE 24 PACK 12OZ CAN,29.0,29.0,False,10,False,1.0,,False,0.0,1.0
5f9c74f7c88c1415cbddb839,750.0,2020-10-29 20:17:59,11,REJECTED,1.0,5f9c74f7c88c1415cbddb839,075925306254,,1.0,1.0,False,1,False,1.0,,False,0.0,1.0
5f9c74f7c88c1415cbddb839,750.0,2020-10-29 20:17:59,11,REJECTED,1.0,5f9c74f7c88c1415cbddb839,,,0.0,0.0,True,2,True,1.0,034100573065,True,29.0,1.0
5f9c74f7c88c1415cbddb839,750.0,2020-10-29 20:17:59,11,REJECTED,1.0,5f9c74f7c88c1415cbddb839,,,0.0,0.0,True,3,True,1.0,034100573065,True,29.0,1.0
5f9c74f7c88c1415cbddb839,750.0,2020-10-29 20:17:59,11,REJECTED,1.0,5f9c74f7c88c1415cbddb839,,,0.0,0.0,True,4,True,1.0,034100573065,True,29.0,1.0
5f9c74f7c88c1415cbddb839,750.0,2020-10-29 20:17:59,11,REJECTED,1.0,5f9c74f7c88c1415cbddb839,,,0.0,0.0,True,5,True,1.0,034100573065,True,29.0,1.0
5f9c74f7c88c1415cbddb839,750.0,2020-10-29 20:17:59,11,REJECTED,1.0,5f9c74f7c88c1415cbddb839,,,0.0,0.0,True,6,True,1.0,034100573065,True,29.0,1.0
5f9c74f7c88c1415cbddb839,750.0,2020-10-29 20:17:59,11,REJECTED,1.0,5f9c74f7c88c1415cbddb839,,,0.0,0.0,True,7,True,1.0,034100573065,True,29.0,1.0
5f9c74f7c88c1415cbddb839,750.0,2020-10-29 20:17:59,11,REJECTED,1.0,5f9c74f7c88c1415cbddb839,,,0.0,0.0,True,8,True,1.0,034100573065,True,29.0,1.0
5f9c74f7c88c1415cbddb839,750.0,2020-10-29 20:17:59,11,REJECTED,1.0,5f9c74f7c88c1415cbddb839,,,0.0,0.0,True,9,True,1.0,034100573065,True,29.0,1.0
